"Semana","Sesión semanal","Sesión TP","Teoría de Probabilidades — tema","Énfasis exclusivo TP","Evaluación TP","Sesión ETD","Estadística para la Toma de Decisiones — tema","Énfasis exclusivo ETD","Evidencia ETD","Relación entre cursos","Alerta para no confundir","Acción docente sugerida"
1,1,1,"Metodología estadística; datos, variables y escalas de medición","Lenguaje estadístico y clasificación formal de variables.","Formativa",1,"Metodología estadística, tipos de estudio, población, muestra, unidad de análisis y variables","Plantear el estudio y la decisión; población, muestra y unidad.","Mapa metodológico y ficha del problema","COMÚN — coordinar ejemplos y datos","Usar una misma base, pero en TP clasificar formalmente; en ETD formular la decisión.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
1,2,2,"Bases de datos y calidad de la información","Calidad de datos como base del análisis probabilístico.","Formativa",2,"Bases de datos: calidad, codificación, escalas de medición y planteamiento de una pregunta de negocio","Pregunta de negocio, codificación y utilidad de la base.","Ficha técnica y base depurada","COMÚN — coordinar ejemplos y datos","No reutilizar la consigna: TP verifica calidad; ETD exige pregunta de negocio.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
2,1,3,"Tablas de frecuencia: datos cualitativos y cuantitativos","Construcción e interpretación formal de frecuencias.","Formativa",3,"Tablas de frecuencia y visualización univariada para variables cualitativas y cuantitativas","Comunicar patrones con tablas y gráficos para decidir.","Tabla, gráfico y hallazgos","COMÚN — coordinar ejemplos y datos","Puede compartirse el conjunto de datos; cambiar el producto esperado.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
2,2,4,"Gráficos de frecuencias y diagrama de Pareto","Representación gráfica, Pareto y elección técnica del gráfico.","Formativa",4,"Indicadores de tendencia central y su interpretación contextual","Interpretación contextual de tendencia central.","Laboratorio de indicadores","COMÚN CON DESFASE — no asumir la misma cobertura","ETD ya estudia centro mientras TP sigue en gráficos.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
3,1,5,"Indicadores de centro: media, mediana y moda","Definiciones, propiedades y cálculo de medidas de centro.","Formativa",5,"Dispersión, posición y detección de valores atípicos; integración del análisis univariado","Integración del análisis univariado y detección de atípicos.","Actividad 1 (4%)","COMÚN CON DESFASE — no asumir la misma cobertura","TP estudia centro; ETD ya integra dispersión y atípicos.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
3,2,6,"Indicadores de dispersión y forma","Dispersión y forma con mayor soporte matemático.","Quiz 1 (5%)",6,"Análisis bivariado: tablas cruzadas, frecuencias condicionales, dispersión y correlación","Relaciones bivariadas y lectura aplicada de correlación.","Avance 1 del proyecto","COMÚN CON DESFASE — no asumir la misma cobertura","ETD ve análisis bivariado antes que TP; evitar usar covarianza probabilística todavía.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
4,1,7,"Posición, caja y bigotes, tallo y hojas","Posición, caja y bigotes, tallo y hojas.","Formativa",7,"Experimento aleatorio, espacio muestral, eventos, enfoques y axiomas de probabilidad","Uso de probabilidad para representar incertidumbre decisional.","Ticket de salida","RELACIONADO — ETD entra antes en probabilidad","ETD inicia probabilidad; TP aún cierra descriptiva.","Explicitar el puente conceptual al iniciar; verificar prerrequisitos sin adelantar el otro curso."
4,2,8,"Análisis conjunto: frecuencias conjunta, marginal y condicional","Frecuencias conjuntas, marginales y condicionales.","Laboratorio 1 (5%)",8,"Técnicas de conteo, reglas de unión e intersección y diagramas de Venn","Conteo y reglas aplicados a escenarios de negocio.","Solución argumentada","RELACIONADO — ETD entra antes en probabilidad","ETD usa conteo; TP trabaja frecuencias conjuntas. Separar vocabulario evento/frecuencia.","Explicitar el puente conceptual al iniciar; verificar prerrequisitos sin adelantar el otro curso."
5,1,9,"Experimentos, espacio muestral y eventos","Formalización de experimento, espacio muestral y eventos.","Formativa",9,"Probabilidad condicional, independencia, árboles y teorema de Bayes","Condicional, Bayes y actualización de decisiones.","Actividad 2 (4%)","RELACIONADO — ETD entra antes en probabilidad","Ambos ven eventos, pero ETD ya incluye Bayes; no adelantar Bayes en TP.","Explicitar el puente conceptual al iniciar; verificar prerrequisitos sin adelantar el otro curso."
5,2,10,"Operaciones con eventos y diagramas de Venn","Álgebra de eventos y representación mediante Venn.","Examen 1 (20%)",10,"Primera evaluación: módulos 1 y 2","Evaluar integración de descriptiva y probabilidad.","Parcial 1 (20%)","RELACIONADO — ETD entra antes en probabilidad","ETD evalúa; TP apenas formaliza operaciones con eventos.","Explicitar el puente conceptual al iniciar; verificar prerrequisitos sin adelantar el otro curso."
6,1,11,"Regla fundamental del conteo","Principio multiplicativo antes de fórmulas combinatorias.","Formativa",11,"Variable aleatoria discreta, función de probabilidad y función acumulada","Modelar resultados discretos para decisiones.","Distribución f(x)/F(x)","COMÚN CON DESFASE — TP aún construye fundamentos","ETD entra en variable aleatoria; TP sigue en conteo.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
6,2,12,"Permutaciones y combinaciones","Diferenciar permutación y combinación según orden/reemplazo.","Formativa",12,"Esperanza, varianza y desviación estándar; decisiones bajo incertidumbre","Interpretar valor esperado como criterio de decisión.","Bitácora de decisión","COMÚN CON DESFASE — TP aún construye fundamentos","ETD usa esperanza; TP está en permutaciones y combinaciones.","Reutilizar contexto o base de datos, pero cambiar objetivo, profundidad, notación y producto."
